2021-03-31 04:20:20,334 Static data: {'symbol': u'USDC', 'slug': u'usd-coin', 'name': u'USD Coin', 'data_added': u'2018-10-08T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 0.04068487, u'last_updated': u'2021-03-31T01:20:05.000Z', u'percent_change_7d': -0.04171509, u'price': 1.00044824116859, u'percent_change_90d': 0.04185625, u'percent_change_24h': 0.03060005, u'market_cap': 10677131670.556223, u'volume_24h': 1516828203.8423667, u'percent_change_30d': 0.02305783, u'percent_change_1h': -0.01469328}}, 'last_updated': u'2021-03-31T01:20:05.000Z'} 
2021-03-31 04:20:20,335 Static data: {'symbol': u'KLAY', 'slug': u'klaytn', 'name': u'Klaytn', 'data_added': u'2020-03-30T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 670.4274172, u'last_updated': u'2021-03-31T01:20:03.000Z', u'percent_change_7d': 37.49051084, u'price': 4.12109010035744, u'percent_change_90d': 758.12082398, u'percent_change_24h': -1.22077557, u'market_cap': 10088672246.556866, u'volume_24h': 291106240.1844422, u'percent_change_30d': 191.48033088, u'percent_change_1h': -1.92859588}}, 'last_updated': u'2021-03-31T01:20:03.000Z'} 
2021-03-31 04:20:20,335 Static data: {'symbol': u'BCH', 'slug': u'bitcoin-cash', 'name': u'Bitcoin Cash', 'data_added': u'2017-07-23T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 30.7813537, u'last_updated': u'2021-03-31T01:19:08.000Z', u'percent_change_7d': 4.42148623, u'price': 533.2965518589059, u'percent_change_90d': 47.75497148, u'percent_change_24h': 3.0177491, u'market_cap': 9969449073.553837, u'volume_24h': 2115460578.0170052, u'percent_change_30d': 14.34832771, u'percent_change_1h': 1.11552856}}, 'last_updated': u'2021-03-31T01:19:08.000Z'} 
2021-03-31 04:20:20,336 Static data: {'symbol': u'FIL', 'slug': u'filecoin', 'name': u'Filecoin', 'data_added': u'2017-12-13T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 605.9161446, u'last_updated': u'2021-03-31T01:20:04.000Z', u'percent_change_7d': 93.50594957, u'price': 157.05608872001474, u'percent_change_90d': 632.43420929, u'percent_change_24h': 23.86225219, u'market_cap': 9775433559.714058, u'volume_24h': 4344803216.281677, u'percent_change_30d': 334.1304967, u'percent_change_1h': 5.13127755}}, 'last_updated': u'2021-03-31T01:20:04.000Z'} 
2021-03-31 04:20:20,336 Static data: {'symbol': u'XLM', 'slug': u'stellar', 'name': u'Stellar', 'data_added': u'2014-08-05T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 38.1010068, u'last_updated': u'2021-03-31T01:20:06.000Z', u'percent_change_7d': 2.944008, u'price': 0.4073061979393, u'percent_change_90d': 213.88436938, u'percent_change_24h': 0.29752648, u'market_cap': 9246265633.0843, u'volume_24h': 881687968.3411878, u'percent_change_30d': -1.77551165, u'percent_change_1h': 0.44831154}}, 'last_updated': u'2021-03-31T01:20:06.000Z'} 
2021-03-31 04:20:20,337 Static data: {'symbol': u'WBTC', 'slug': u'wrapped-bitcoin', 'name': u'Wrapped Bitcoin', 'data_added': u'2019-01-30T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 70.66691198, u'last_updated': u'2021-03-31T01:20:07.000Z', u'percent_change_7d': 8.92530191, u'price': 59140.39065957065, u'percent_change_90d': 103.57637049, u'percent_change_24h': 2.69482344, u'market_cap': 8285751987.768558, u'volume_24h': 165233356.84188864, u'percent_change_30d': 29.19311682, u'percent_change_1h': 0.41208842}}, 'last_updated': u'2021-03-31T01:20:07.000Z'} 
2021-03-31 04:20:20,337 Static data: {'symbol': u'LUNA', 'slug': u'terra-luna', 'name': u'Terra', 'data_added': u'2019-07-26T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 1160.10066293, u'last_updated': u'2021-03-31T01:20:03.000Z', u'percent_change_7d': 16.26831329, u'price': 18.8183970541213, u'percent_change_90d': 2713.86899704, u'percent_change_24h': 0.51943541, u'market_cap': 7368105346.160243, u'volume_24h': 266690972.38356468, u'percent_change_30d': 242.27796674, u'percent_change_1h': 0.45765024}}, 'last_updated': u'2021-03-31T01:20:03.000Z'} 
2021-03-31 04:20:20,338 Static data: {'symbol': u'DOGE', 'slug': u'dogecoin', 'name': u'Dogecoin', 'data_added': u'2013-12-15T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 15.5455821, u'last_updated': u'2021-03-31T01:20:03.000Z', u'percent_change_7d': 1.93833799, u'price': 0.05439269825304, u'percent_change_90d': 1062.43258045, u'percent_change_24h': 0.97559972, u'market_cap': 7015363412.657481, u'volume_24h': 736388022.7016917, u'percent_change_30d': 11.09646778, u'percent_change_1h': 0.84367689}}, 'last_updated': u'2021-03-31T01:20:03.000Z'} 
2021-03-31 04:20:20,338 Static data: {'symbol': u'VET', 'slug': u'vechain', 'name': u'VeChain', 'data_added': u'2017-08-22T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 219.3137818, u'last_updated': u'2021-03-31T01:20:02.000Z', u'percent_change_7d': 9.36804048, u'price': 0.0897160407255, u'percent_change_90d': 351.70600449, u'percent_change_24h': -1.8697751, u'market_cap': 5770138924.429155, u'volume_24h': 764059907.1376634, u'percent_change_30d': 120.61403708, u'percent_change_1h': -0.24567711}}, 'last_updated': u'2021-03-31T01:20:02.000Z'} 
2021-03-31 04:20:20,339 Static data: {'symbol': u'CRO', 'slug': u'crypto-com-coin', 'name': u'Crypto.com Coin', 'data_added': u'2018-12-14T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 225.39945515, u'last_updated': u'2021-03-31T01:20:07.000Z', u'percent_change_7d': 4.63511038, u'price': 0.22227263010907, u'percent_change_90d': 272.85835569, u'percent_change_24h': 0.30482731, u'market_cap': 5615276497.802287, u'volume_24h': 188999743.68894464, u'percent_change_30d': 60.81058936, u'percent_change_1h': 0.60567965}}, 'last_updated': u'2021-03-31T01:20:07.000Z'} 
2021-03-31 04:20:20,339 Static data: {'symbol': u'SOL', 'slug': u'solana', 'name': u'Solana', 'data_added': u'2020-04-10T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 390.15184403, u'last_updated': u'2021-03-31T01:20:05.000Z', u'percent_change_7d': 36.47006924, u'price': 19.15617346654045, u'percent_change_90d': 1162.14726733, u'percent_change_24h': -0.49265554, u'market_cap': 5137654124.229199, u'volume_24h': 247896379.10581687, u'percent_change_30d': 43.44173433, u'percent_change_1h': -0.64152251}}, 'last_updated': u'2021-03-31T01:20:05.000Z'} 
2021-03-31 04:20:20,340 Static data: {'symbol': u'TRX', 'slug': u'tron', 'name': u'TRON', 'data_added': u'2017-09-13T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 101.17798573, u'last_updated': u'2021-03-31T01:19:09.000Z', u'percent_change_7d': 13.56164782, u'price': 0.06634013545296, u'percent_change_90d': 145.80361866, u'percent_change_24h': 3.06039065, u'market_cap': 4753911376.40467, u'volume_24h': 1787056849.1536942, u'percent_change_30d': 43.09600951, u'percent_change_1h': 0.5367149}}, 'last_updated': u'2021-03-31T01:19:09.000Z'} 
2021-03-31 04:20:20,340 Static data: {'symbol': u'AAVE', 'slug': u'aave', 'name': u'Aave', 'data_added': u'2020-10-02T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 30.92497741, u'last_updated': u'2021-03-31T01:20:03.000Z', u'percent_change_7d': 13.68407262, u'price': 379.62780587406814, u'percent_change_90d': 373.38385509, u'percent_change_24h': 5.85713995, u'market_cap': 4731491991.374382, u'volume_24h': 334999231.2662585, u'percent_change_30d': 8.12753, u'percent_change_1h': 1.7872004}}, 'last_updated': u'2021-03-31T01:20:03.000Z'} 
2021-03-31 04:20:20,340 Static data: {'symbol': u'KSM', 'slug': u'kusama', 'name': u'Kusama', 'data_added': u'2019-12-12T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 421.14527458, u'last_updated': u'2021-03-31T01:19:09.000Z', u'percent_change_7d': 31.60661763, u'price': 556.1588276509385, u'percent_change_90d': 809.2259619, u'percent_change_24h': 2.06732583, u'market_cap': 4710719805.615358, u'volume_24h': 406929973.2897977, u'percent_change_30d': 159.59479006, u'percent_change_1h': 2.55859449}}, 'last_updated': u'2021-03-31T01:19:09.000Z'} 
2021-03-31 04:20:20,341 Static data: {'symbol': u'BTT', 'slug': u'bittorrent', 'name': u'BitTorrent', 'data_added': u'2019-01-31T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 1105.48410038, u'last_updated': u'2021-03-31T01:20:07.000Z', u'percent_change_7d': 41.21158278, u'price': 0.0046776415011, u'percent_change_90d': 1499.97767608, u'percent_change_24h': 23.13999311, u'market_cap': 4630773510.692119, u'volume_24h': 3150337830.319747, u'percent_change_30d': 300.69875737, u'percent_change_1h': -0.36637739}}, 'last_updated': u'2021-03-31T01:20:07.000Z'} 
2021-03-31 04:20:20,341 Static data: {'symbol': u'MIOTA', 'slug': u'iota', 'name': u'IOTA', 'data_added': u'2017-06-13T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 289.65492643, u'last_updated': u'2021-03-31T01:19:07.000Z', u'percent_change_7d': -1.98865795, u'price': 1.6015815948991, u'percent_change_90d': 436.82422953, u'percent_change_24h': 5.25041418, u'market_cap': 4451644543.717486, u'volume_24h': 134206728.63752265, u'percent_change_30d': 40.10444953, u'percent_change_1h': 0.88965428}}, 'last_updated': u'2021-03-31T01:19:07.000Z'} 
2021-03-31 04:20:20,342 Static data: {'symbol': u'XMR', 'slug': u'monero', 'name': u'Monero', 'data_added': u'2014-05-21T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 75.25275928, u'last_updated': u'2021-03-31T01:20:05.000Z', u'percent_change_7d': 13.0959798, u'price': 245.8883538516803, u'percent_change_90d': 55.08838095, u'percent_change_24h': 4.63829421, u'market_cap': 4395326876.286327, u'volume_24h': 536928249.9482914, u'percent_change_30d': 10.80502559, u'percent_change_1h': -0.64972495}}, 'last_updated': u'2021-03-31T01:20:05.000Z'} 
2021-03-31 04:20:20,342 Static data: {'symbol': u'ATOM', 'slug': u'cosmos', 'name': u'Cosmos', 'data_added': u'2019-03-14T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 151.2469807, u'last_updated': u'2021-03-31T01:19:08.000Z', u'percent_change_7d': 7.77433112, u'price': 19.99271212047946, u'percent_change_90d': 272.32440742, u'percent_change_24h': -0.5617045, u'market_cap': 4238517759.94628, u'volume_24h': 464057702.6576258, u'percent_change_30d': 11.33829696, u'percent_change_1h': 0.90097816}}, 'last_updated': u'2021-03-31T01:19:08.000Z'} 
2021-03-31 04:20:20,343 Static data: {'symbol': u'EOS', 'slug': u'eos', 'name': u'EOS', 'data_added': u'2017-07-01T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 60.51852483, u'last_updated': u'2021-03-31T01:19:08.000Z', u'percent_change_7d': 7.57938081, u'price': 4.38767411414614, u'percent_change_90d': 65.84071484, u'percent_change_24h': 2.92222186, u'market_cap': 4177583432.244111, u'volume_24h': 1581522233.11505, u'percent_change_30d': 24.50859904, u'percent_change_1h': 0.67723487}}, 'last_updated': u'2021-03-31T01:19:08.000Z'} 
2021-03-31 04:20:20,343 Static data: {'symbol': u'BSV', 'slug': u'bitcoin-sv', 'name': u'Bitcoin SV', 'data_added': u'2018-11-09T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 24.29536037, u'last_updated': u'2021-03-31T01:20:07.000Z', u'percent_change_7d': 1.51651717, u'price': 214.31649216903344, u'percent_change_90d': 28.80044287, u'percent_change_24h': 4.00293906, u'market_cap': 4006044408.3534, u'volume_24h': 621023062.377605, u'percent_change_30d': 19.30665001, u'percent_change_1h': 3.46024156}}, 'last_updated': u'2021-03-31T01:20:07.000Z'} 
2021-03-31 04:20:20,344 Static data: {'symbol': u'FTT', 'slug': u'ftx-token', 'name': u'FTX Token', 'data_added': u'2019-07-31T00:00:00.000Z'}, Dynamic data : {'Info Crypto changes': {u'USD': {u'percent_change_60d': 239.63821214, u'last_updated': u'2021-03-31T01:20:03.000Z', u'percent_change_7d': 10.78237787, u'price': 40.44018297953044, u'percent_change_90d': 600.7041834, u'percent_change_24h': 4.77366118, u'market_cap': 3815408225.822404, u'volume_24h': 56675962.28704558, u'percent_change_30d': 53.35556559, u'percent_change_1h': 0.98005601}}, 'last_updated': u'2021-03-31T01:20:03.000Z'} 
